B01001    SEX BY AGE
B99186    IMPUTATION OF SELF-CARE DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER
B99187    AGE BY IMPUTATION OF INDEPENDENT LIVING DIFFICULTY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 15 YEARS AND OVER
B99191    IMPUTATION OF INDIVIDUALS' INCOME IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER - PERCENT OF INCOME IMPUTED
B99192    IMPUTATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME IMPUTED
B99193    IMPUTATION OF FAMILY INCOME IN THE PAST 12 MONTHS -- PERCENT OF INCOME IMPUTED
B99194    IMPUTATION OF NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS -- PERCENT OF INCOME IMPUTED
B99201    IMPUTATION OF EARNINGS IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER - PERCENT OF EARNINGS IMPUTED
B99211    IMPUTATION OF VETERAN STATUS FOR THE POPULATION 18 YEARS AND OVER
B99212    IMPUTATION OF PERIOD OF MILITARY SERVICE FOR CIVILIAN VETERANS 18 YEARS AND OVER
B99221    IMPUTATION OF FOOD STAMPS/SNAP RECEIPT
B99231    IMPUTATION OF EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER
B99232    IMPUTATION OF WORK STATUS IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER
B99233    IMPUTATION OF USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER
B99234    IMPUTATION OF WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER
B99241    IMPUTATION OF INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B99242    IMPUTATION OF OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B99243    IMPUTATION OF CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B99244    IMPUTATION OF INDUSTRY FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B99245    IMPUTATION OF OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B99246    IMPUTATION OF CLASS OF WORKER FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
B992510   IMPUTATION OF KITCHEN FACILITIES
B992511   IMPUTATION OF HOUSE HEATING FUEL
B992512   IMPUTATION OF VEHICLES AVAILABLE
B992513   IMPUTATION OF TELEPHONE SERVICE AVAILABLE
B992514   IMPUTATION OF MEALS INCLUDED IN RENT
B992515   IMPUTATION OF CONTRACT RENT
B992516   IMPUTATION OF RENT ASKED
B992518   IMPUTATION OF GROSS RENT
B992519   IMPUTATION OF VALUE
B99252    IMPUTATION OF TENURE
B992520   IMPUTATION OF PRICE ASKED
B992521   IMPUTATION OF MORTGAGE STATUS
B992522   IMPUTATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS
B992523   IMPUTATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS
B99253    IMPUTATION OF VACANCY STATUS
B99254    IMPUTATION OF ROOMS
B99255    IMPUTATION OF UNITS IN STRUCTURE
B99256    IMPUTATION OF YEAR STRUCTURE BUILT
B99257    IMPUTATION OF YEAR HOUSEHOLDER MOVED INTO UNIT
B99258    IMPUTATION OF BEDROOMS
B99259    IMPUTATION OF PLUMBING FACILITIES
B992701   IMPUTATION OF HEALTH INSURANCE COVERAGE
B992702   IMPUTATION OF PRIVATE HEALTH INSURANCE
B992703   IMPUTATION OF PUBLIC HEALTH INSURANCE
B992704   IMPUTATION OF EMPLOYER-BASED HEALTH INSURANCE
B992705   IMPUTATION OF DIRECT-PURCHASE HEALTH INSURANCE
B992706   IMPUTATION OF MEDICARE COVERAGE
B992707   IMPUTATION OF MEDICAID/MEANS-TESTED PUBLIC COVERAGE
B992708   IMPUTATION OF TRICARE/MILITARY HEALTH COVERAGE
B992709   IMPUTATION OF VA HEALTH CARE
